iter	Passed	Remaining
655	4981	2612
656	4988	2604
657	4995	2596
658	5003	2588
659	5012	2581
660	5022	2576
661	5031	2568
662	5040	2562
663	5048	2554
664	5058	2548
665	5069	2542
666	5078	2535
667	5089	2529
668	5099	2523
669	5109	2516
670	5119	2510
671	5128	2503
672	5139	2497
673	5148	2490
674	5159	2484
675	5169	2477
676	5179	2471
677	5188	2464
678	5197	2457
679	5207	2450
680	5217	2443
681	5226	2437
682	5237	2430
683	5247	2424
684	5257	2417
685	5267	2411
686	5278	2404
687	5289	2398
688	5300	2392
689	5309	2385
690	5319	2378
691	5328	2371
692	5338	2364
693	5348	2358
694	5357	2351
695	5366	2343
696	5374	2336
697	5383	2329
698	5392	2322
699	5402	2315
700	5410	2307
701	5421	2301
702	5432	2294
703	5441	2288
704	5452	2281
705	5463	2275
706	5474	2268
707	5485	2262
708	5497	2256
709	5508	2249
710	5519	2243
711	5532	2237
712	5544	2231
713	5556	2225
714	5567	2219
715	5578	2212
716	5590	2206
717	5601	2199
718	5612	2193
719	5622	2186
720	5632	2179
721	5643	2172
722	5654	2166
723	5666	2160
724	5677	2153
725	5687	2146
726	5696	2139
727	5706	2132
728	5718	2125
729	5728	2118
730	5737	2111
731	5747	2104
732	5756	2096
733	5765	2089
734	5774	2081
735	5783	2074
736	5793	2067
737	5802	2059
738	5811	2052
739	5820	2045
740	5830	2037
741	5838	2030
742	5848	2022
743	5858	2015
744	5867	2008
745	5876	2000
746	5886	1993
747	5895	1986
748	5904	1978
749	5914	1971
750	5921	1963
751	5930	1955
752	5938	1948
753	5948	1940
754	5958	1933
755	5966	1925
756	5974	1917
757	5984	1910
758	5993	1903
759	6002	1895
760	6010	1887
761	6019	1879
762	6029	1872
763	6038	1865
764	6047	1857
765	6058	1850
766	6067	1843
767	6077	1835
768	6086	1828
769	6095	1820
770	6103	1812
771	6112	1805
772	6121	1797
773	6130	1789
774	6139	1782
775	6147	1774
776	6156	1766
777	6165	1759
778	6175	1752
779	6184	1744
780	6193	1736
781	6202	1729
782	6210	1721
783	6220	1713
784	6229	1706
785	6240	1698
786	6248	1691
787	6257	1683
788	6266	1675
789	6275	1668
790	6283	1660
791	6293	1652
792	6303	1645
793	6313	1638
794	6324	1630
795	6335	1623
796	6347	1616
797	6359	1609
798	6371	1602
799	6381	1595
800	6393	1588
801	6406	1581
802	6418	1574
803	6428	1567
804	6440	1560
805	6450	1552
806	6461	1545
807	6471	1537
808	6481	1530
809	6491	1522
810	6502	1515
811	6513	1508
812	6524	1500
813	6535	1493
814	6543	1485
815	6551	1477
816	6559	1469
817	6566	1461
818	6573	1452
819	6580	1444
820	6587	1436
821	6594	1428
822	6602	1419
823	6608	1411
824	6615	1403
825	6622	1395
826	6630	1386
827	6637	1378
828	6643	1370
829	6651	1362
830	6657	1354
831	6665	1345
832	6672	1337
833	6679	1329
834	6686	1321
835	6692	1312
836	6699	1304
837	6706	1296
838	6714	1288
839	6721	1280
840	6728	1272
841	6735	1263
842	6741	1255
843	6749	1247
844	6756	1239
845	6764	1231
846	6771	1223
847	6778	1215
848	6785	1206
849	6791	1198
850	6799	1190
851	6806	1182
852	6813	1174
853	6820	1166
854	6827	1157
855	6834	1149
856	6841	1141
857	6848	1133
858	6855	1125
859	6862	1117
860	6869	1109
861	6876	1100
862	6883	1092
863	6890	1084
864	6897	1076
865	6904	1068
866	6911	1060
867	6918	1052
868	6925	1043
869	6932	1035
870	6938	1027
871	6946	1019
872	6953	1011
873	6960	1003
874	6967	995
875	6973	987
876	6981	979
877	6988	971
878	6995	962
879	7002	954
880	7010	946
881	7017	938
882	7024	930
883	7031	922
884	7038	914
885	7045	906
886	7052	898
887	7059	890
888	7066	882
889	7074	874
890	7081	866
891	7088	858
892	7095	850
893	7102	842
894	7109	834
895	7116	826
896	7124	818
897	7130	809
898	7138	801
899	7145	793
900	7152	785
901	7159	777
902	7166	769
903	7174	761
904	7181	753
905	7189	745
906	7196	737
907	7203	729
908	7211	721
909	7218	713
910	7225	705
911	7232	697
912	7240	689
913	7247	681
914	7255	673
915	7262	665
916	7269	657
917	7276	649
918	7283	641
919	7290	633
920	7297	625
921	7304	617
922	7311	609
923	7318	601
924	7325	593
925	7332	585
926	7340	578
927	7346	570
928	7353	562
929	7361	554
930	7368	546
931	7375	538
932	7382	530
933	7389	522
934	7396	514
935	7403	506
936	7410	498
937	7417	490
938	7424	482
939	7431	474
940	7438	466
941	7445	458
942	7452	450
943	7460	442
944	7467	434
945	7474	426
946	7481	418
947	7488	410
948	7495	402
949	7502	394
950	7509	386
951	7516	378
952	7523	371
953	7530	363
954	7537	355
955	7544	347
956	7550	339
957	7557	331
958	7564	323
959	7572	315
960	7579	307
961	7586	299
962	7593	291
963	7600	283
964	7607	275
965	7614	267
966	7621	260
967	7628	252
968	7635	244
969	7642	236
970	7649	228
971	7656	220
972	7663	212
973	7670	204
974	7677	196
975	7684	188
976	7691	181
977	7698	173
978	7705	165
979	7713	157
980	7720	149
981	7727	141
982	7734	133
983	7741	125
984	7748	118
985	7755	110
986	7762	102
987	7770	94
988	7776	86
989	7784	78
990	7790	70
991	7797	62
992	7804	55
993	7811	47
994	7818	39
995	7824	31
996	7832	23
997	7838	15
998	7846	7
999	7852	0
